,Entry.name,Gene.names,Gene.names...primary..,Gene.names...synonym..,Gene.names...ordered.locus..,Gene.names...ORF..,Organism,Organism.ID,Protein.names,Proteomes,Taxonomic.lineage..ALL.,Virus.hosts
A0A2J7QB22,A0A2J7QB22_9NEOP,B7P43_G11743,NA,NA,NA,B7P43_G11743,Cryptotermes secundus,105785,Piwi-like protein Siwi,UP000235965: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Polyneoptera, Dictyoptera, Blattodea (cockroaches), Blattoidea, Termitoidae (termites), Kalotermitidae (powder-post termites), Cryptotermitinae, Cryptotermes, Cryptotermes secundus",NA
S4RYE2,S4RYE2_PETMA,PIWIL4,PIWIL4,NA,NA,NA,Petromyzon marinus (Sea lamprey),7757,Uncharacterized protein,UP000245300: Unplaced,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Cyclostomata (jawless vertebrates), Hyperoartia, Petromyzontiformes, Petromyzontidae, Petromyzon, Petromyzon marinus (Sea lamprey)",NA
A0A2K3CW87,A0A2K3CW87_CHLRE,CHLRE_16g689647v5,NA,NA,NA,CHLRE_16g689647v5,Chlamydomonas reinhardtii (Chlamydomonas smithii),3055,Uncharacterized protein,UP000006906: Chromosome 16,"cellular organisms, Eukaryota, Viridiplantae, Chlorophyta, core chlorophytes, Chlorophyceae, CS clade, Chlamydomonadales, Chlamydomonadaceae, Chlamydomonas, Chlamydomonas reinhardtii (Chlamydomonas smithii)",NA
A0A388KES6,A0A388KES6_CHABU,CBR_g3051,NA,NA,NA,CBR_g3051,Chara braunii (Braun's stonewort),69332,Uncharacterized protein,UP000265515: Unassembled WGS sequence,"cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Charophyceae, Charales, Characeae, Chara, Chara braunii (Braun's stonewort)",NA
A0A226EFL3,A0A226EFL3_FOLCA,Fcan01_08626,NA,NA,NA,Fcan01_08626,Folsomia candida (Springtail),158441,Protein piwi,UP000198287: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Collembola (springtails), Entomobryomorpha, Isotomoidea, Isotomidae (smooth springtails), Proisotominae, Folsomia, Folsomia candida (Springtail)",NA
A0A3S3PD82,A0A3S3PD82_9ACAR,B4U79_02330,NA,NA,NA,B4U79_02330,Dinothrombium tinctorium,1965070,Piwi-like protein 1,UP000285301: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Acari, Acariformes, Trombidiformes, Prostigmata, Anystina, Parasitengona (velvet mites), Trombidioidea, Trombidiidae, Dinothrombium, Dinothrombium tinctorium",NA
A0A0L0TEV1,A0A0L0TEV1_ALLM3,AMAG_17442,NA,NA,NA,AMAG_17442,Allomyces macrogynus (strain ATCC 38327) (Allomyces javanicus var. macrogynus),578462,Uncharacterized protein,UP000054350: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Blastocladiomycota, Blastocladiomycota incertae sedis, Blastocladiomycetes, Blastocladiales, Blastocladiaceae, Allomyces, Allomyces macrogynus, Allomyces macrogynus (strain ATCC 38327) (Allomyces javanicus var. macrogynus)",NA
A0A1S3J512,A0A1S3J512_LINUN,LOC106170165,LOC106170165,NA,NA,NA,Lingula unguis,7574,piwi-like protein 1,UP000085678: Genome assembly,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Brachiopoda (lampshells), Linguliformea, Lingulata, Lingulida, Linguloidea, Lingulidae, Lingula, Lingula unguis",NA
G0QTT2,G0QTT2_ICHMG,IMG5_111170,NA,NA,NA,IMG5_111170,Ichthyophthirius multifiliis (strain G5) (White spot disease agent) (Ich),857967,PIWI domain protein,UP000008983: Unassembled WGS sequence,"cellular organisms, Eukaryota, Sar, Alveolata, Ciliophora, Intramacronucleata, Oligohymenophorea, Hymenostomatida, Ophryoglenina, Ichthyophthirius, Ichthyophthirius multifiliis (White spot disease agent) (Ich), Ichthyophthirius multifiliis (strain G5) (White spot disease agent) (Ich)",NA
A0A1J1HRI1,A0A1J1HRI1_9DIPT,similar to Protein aubergine CLUMA_CG004289,similar to Protein aubergine,NA,NA,CLUMA_CG004289,Clunio marinus,568069,"CLUMA_CG004289, isoform A",UP000183832: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Nematocera, Culicomorpha, Chironomoidea, Chironomidae (nonbiting midges), Orthocladiinae, Clunio, Clunio marinus",NA
C4V9J2,C4V9J2_NOSCE,NCER_101240,NA,NA,NA,NCER_101240,Nosema ceranae (strain BRL01) (Microsporidian parasite),578460,Uncharacterized protein,UP000009082: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Microsporidia, Apansporoblastina, Nosematidae, Nosema, Nosema ceranae, Nosema ceranae (strain BRL01) (Microsporidian parasite)",NA
Q9JMB7,PIWL1_MOUSE,Piwil1 Miwi,Piwil1,Miwi,NA,NA,Mus musculus (Mouse),10090,Piwi-like protein 1 (EC 3.1.26.-),UP000000589: Chromosome 5,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Myomorpha (mice and others), Muroidea, Muridae, Murinae, Mus, Mus, Mus musculus (Mouse)",NA
A0A075AN09,A0A075AN09_ROZAC,O9G_001070,NA,NA,NA,O9G_001070,Rozella allomycis (strain CSF55),988480,"Argonaute/Dicer protein, PAZ domain-containing protein",UP000030755: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Cryptomycota, Cryptomycota incertae sedis, Rozella, Rozella allomycis, Rozella allomycis (strain CSF55)",NA
Q5TW24,Q5TW24_ANOGA,AgaP_AGAP011204,NA,NA,NA,AgaP_AGAP011204,Anopheles gambiae (African malaria mosquito),7165,AGAP011204-PA (Fragment),UP000007062: Chromosome 3L,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Nematocera, Culicomorpha, Culicoidea, Culicidae (mosquitos), Anophelinae, Anopheles, Cellia, Pyretophorus, gambiae species complex, Anopheles gambiae (African malaria mosquito)",NA
U5HIG6,U5HIG6_USTV1,MVLG_06823,NA,NA,NA,MVLG_06823,Microbotryum lychnidis-dioicae (strain p1A1 Lamole / MvSl-1064) (Anther smut fungus),683840,Uncharacterized protein,UP000017200: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Pucciniomycotina, Microbotryomycetes, Microbotryales, Microbotryaceae, Microbotryum, Microbotryum lychnidis-dioicae, Microbotryum lychnidis-dioicae (strain p1A1 Lamole / MvSl-1064) (Anther smut fungus)",NA
A0A401PRI6,A0A401PRI6_SCYTO,scyTo_0019045,NA,NA,NA,scyTo_0019045,Scyliorhinus torazame (Cloudy catshark),75743,Uncharacterized protein (Fragment),UP000288216: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Chondrichthyes, Elasmobranchii (elasmobranchs), Selachii (sharks), Galeomorphii, Galeoidea, Carcharhiniformes (ground sharks), Scyliorhinidae (cat sharks), Scyliorhinus, Scyliorhinus torazame (Cloudy catshark)",NA
Q96J94,PIWL1_HUMAN,PIWIL1 HIWI,PIWIL1,HIWI,NA,NA,Homo sapiens (Human),9606,Piwi-like protein 1 (EC 3.1.26.-),UP000005640: Chromosome 12,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)",NA
A0A2B4RHN2,A0A2B4RHN2_STYPI,piwil2 AWC38_SpisGene19995,piwil2,NA,NA,AWC38_SpisGene19995,Stylophora pistillata (Smooth cauliflower coral),50429,Piwi-like protein 2,UP000225706: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa (anthozoans), Hexacorallia, Scleractinia (stony corals), Astrocoeniina, Pocilloporidae, Stylophora, Stylophora pistillata (Smooth cauliflower coral)",NA
G2QEV0,G2QEV0_MYCTT,MYCTH_2306810,NA,NA,NA,MYCTH_2306810,Myceliophthora thermophila (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),573729,Piwi domain-containing protein,UP000007322: Chromosome 4,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Sordariomycetidae, Sordariales, Chaetomiaceae, Thermothelomyces, Thermothelomyces thermophilus (Myceliophthora thermophila), Myceliophthora thermophila (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile)",NA
A0A397UU01,A0A397UU01_9GLOM,C2G38_2205509,NA,NA,NA,C2G38_2205509,Gigaspora rosea,44941,Piwi domain-containing protein,UP000266673: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Mucoromycota, Glomeromycotina, Glomeromycetes, Diversisporales, Gigasporaceae, Gigaspora, Gigaspora rosea",NA
A0A2T7PFL8,A0A2T7PFL8_POMCA,C0Q70_07648,NA,NA,NA,C0Q70_07648,Pomacea canaliculata (Golden apple snail),400727,Uncharacterized protein,"UP000245119: Miscellaneous, Linkage group lg4","cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Mollusca, Gastropoda, Caenogastropoda, Architaenioglossa, Ampullarioidea, Ampullariidae, Pomacea, Pomacea canaliculata (Golden apple snail)",NA
K7ISV0,A0A7M7G3W4_NASVI,100118414,100118414,NA,NA,NA,Nasonia vitripennis (Parasitic wasp),7425,Uncharacterized protein,UP000002358: Unplaced,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Hymenoptera, Apocrita (wasps, ants, and bees), Parasitoida, Chalcidoidea, Pteromalidae, Pteromalinae, Nasonia, Nasonia vitripennis (Parasitic wasp)",NA
A0A024FT57,A0A024FT57_9STRA,BN9_074870,NA,NA,NA,BN9_074870,Albugo candida,65357,Uncharacterized protein,UP000053237: Unassembled WGS sequence,"cellular organisms, Eukaryota, Sar, Stramenopiles, Oomycota, Albuginales, Albuginaceae, Albugo, Albugo candida",NA
H3HCL6,H3HCL6_PHYRM,NA,NA,NA,NA,NA,Phytophthora ramorum (Sudden oak death agent),164328,Uncharacterized protein,UP000005238: Unassembled WGS sequence,"cellular organisms, Eukaryota, Sar, Stramenopiles, Oomycota, Peronosporales, Peronosporaceae, Phytophthora, Phytophthora ramorum (Sudden oak death agent)",NA
A0A0G4IME3,A0A0G4IME3_PLABS,PBRA_004941 PLBR_LOCUS6420,NA,NA,NA,PBRA_004941 PLBR_LOCUS6420,Plasmodiophora brassicae (Clubroot disease),37360,Uncharacterized protein,"UP000039324: Unassembled WGS sequence, UP000290189: Unassembled WGS sequence","cellular organisms, Eukaryota, Sar, Rhizaria, Endomyxa, Phytomyxea, Plasmodiophorida, Plasmodiophoridae (plasmodiophorids), Plasmodiophora, Plasmodiophora brassicae (Clubroot disease)",NA
E9FUN9,E9FUN9_DAPPU,DAPPUDRAFT_220987,NA,NA,NA,DAPPUDRAFT_220987,Daphnia pulex (Water flea),6669,Piwi/Aubergine-like protein,UP000000305: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Crustacea, Branchiopoda, Phyllopoda, Diplostraca, Cladocera (water fleas), Anomopoda, Daphniidae, Daphnia (common water fleas), Daphnia pulex (Water flea)",NA
A0A1S3CYL5,A0A1S3CYL5_DIACI,LOC103507780,LOC103507780,NA,NA,NA,Diaphorina citri (Asian citrus psyllid),121845,piwi-like protein Ago3,UP000079169: Genome assembly,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Paraneoptera, Hemiptera, Sternorrhyncha, Psylloidea (jumping plant lice), Liviidae, Diaphorina, Diaphorina citri (Asian citrus psyllid)",NA
D7FQK3,D7FQK3_ECTSI,AGO1 Esi_0203_0032,AGO1,NA,NA,Esi_0203_0032,Ectocarpus siliculosus (Brown alga) (Conferva siliculosa),2880,Argonaute 1,UP000002630: Chromosome LG02,"cellular organisms, Eukaryota, Sar, Stramenopiles, Ochrophyta, PX clade, Phaeophyceae, Ectocarpales, Ectocarpaceae, Ectocarpus, Ectocarpus siliculosus (Brown alga) (Conferva siliculosa)",NA
A0A1Y1YHC8,A0A1Y1YHC8_9FUNG,K493DRAFT_215953,NA,NA,NA,K493DRAFT_215953,Basidiobolus meristosporus CBS 931.73,1314790,Piwi-domain-containing protein,UP000193498: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Zoopagomycota, Entomophthoromycotina, Basidiobolomycetes, Basidiobolales, Basidiobolaceae, Basidiobolus, Basidiobolus meristosporus, Basidiobolus meristosporus CBS 931.73",NA
T1GSU4,T1GSU4_MEGSC,NA,NA,NA,NA,NA,Megaselia scalaris (Humpbacked fly) (Phora scalaris),36166,Uncharacterized protein,UP000015102: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Aschiza, Platypezoidea, Phoridae (humpbacked flies), Metopininae, Megaseliini, Megaselia, Megaselia scalaris (Humpbacked fly) (Phora scalaris)",NA
F4S231,F4S231_MELLP,MELLADRAFT_79053,NA,NA,NA,MELLADRAFT_79053,Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7) (Poplar leaf rust fungus),747676,Uncharacterized protein,UP000001072: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Pucciniomycotina, Pucciniomycetes, Pucciniales (rusts), Melampsoraceae, Melampsora, Melampsora larici-populina, Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7) (Poplar leaf rust fungus)",NA
A0A1D8PMK0,A0A1D8PMK0_CANAL,AGO1 orf19.2903 CAALFM_C406340WA,AGO1,NA,orf19.2903,CAALFM_C406340WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),237561,Ago1p,UP000000559: Chromosome 4,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina (true yeasts), Saccharomycetes, Saccharomycetales, Debaryomycetaceae, Candida/Lodderomyces clade, Candida, Candida albicans (Yeast), Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)",NA
A0A2G5B1D8,A0A2G5B1D8_COERN,COEREDRAFT_26441,NA,NA,NA,COEREDRAFT_26441,Coemansia reversa (strain ATCC 12441 / NRRL 1564),763665,Piwi-domain-containing protein (Fragment),UP000242474: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Zoopagomycota, Kickxellomycotina, Kickxellomycetes, Kickxellales, Kickxellaceae, Coemansia, Coemansia reversa, Coemansia reversa (strain ATCC 12441 / NRRL 1564)",NA
Q5BD61,Q5BD61_EMENI,ANIA_01519,NA,NA,NA,ANIA_01519,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),227321,"RNA interference and gene silencing protein (Qde2), putative (AFU_orthologue AFUA_8G05280)",UP000000560: Chromosome VII,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales (green and blue molds), Aspergillaceae, Aspergillus, Aspergillus subgen. Nidulantes, Emericella nidulans (Aspergillus nidulans), Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)",NA
A0A1C7M8P2,A0A1C7M8P2_GRIFR,AGO1B A0H81_06852,AGO1B,NA,NA,A0H81_06852,Grifola frondosa (Maitake) (Polyporus frondosus),5627,Protein argonaute 1B,UP000092993: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Polyporales, Grifolaceae, Grifola, Grifola frondosa (Maitake) (Polyporus frondosus)",NA
A0A4D8YSQ3,A0A4D8YSQ3_SALSN,ELF2C Saspl_040371,ELF2C,NA,NA,Saspl_040371,Salvia splendens (Scarlet sage),180675,Eukaryotic translation initiation factor 2C,UP000298416: Unassembled WGS sequence,"cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, asterids, lamiids, Lamiales, Lamiaceae, Nepetoideae, Mentheae, Salvia (sages), Salvia subgen. Calosphace, core Calosphace, Salvia splendens (Scarlet sage)",NA
A0A158PJG6,A0A158PJG6_ANGCS,ACOC_LOCUS8737,NA,NA,NA,ACOC_LOCUS8737,Angiostrongylus costaricensis (Nematode worm),334426,Uncharacterized protein,"UP000050601: Unplaced, UP000267027: Unassembled WGS sequence","cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Strongylida, Metastrongyloidea (lungworms), Angiostrongylidae, Angiostrongylus, Angiostrongylus costaricensis (Nematode worm)",NA
J9JZ66,J9JZ66_ACYPI,100164750,100164750,NA,NA,NA,Acyrthosiphon pisum (Pea aphid),7029,Uncharacterized protein,UP000007819: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Paraneoptera, Hemiptera, Sternorrhyncha, Aphidomorpha (aphids), Aphidoidea, Aphididae (aphids), Aphidinae, Macrosiphini, Acyrthosiphon, Acyrthosiphon pisum (Pea aphid)",NA
A0A0C2XG51,A0A0C2XG51_AMAMU,M378DRAFT_176624,NA,NA,NA,M378DRAFT_176624,Amanita muscaria Koide BX008,946122,Piwi domain-containing protein,UP000054549: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Amanitaceae, Amanita, Amanita muscaria (Fly agaric), Amanita muscaria Koide BX008",NA
A0A158QZT6,A0A158QZT6_NIPBR,NBR_LOCUS10672,NA,NA,NA,NBR_LOCUS10672,Nippostrongylus brasiliensis (Rat hookworm),27835,Uncharacterized protein,"UP000038043: Unplaced, UP000271162: Unassembled WGS sequence","cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Strongylida, Trichostrongyloidea, Heligmonellidae, Nippostrongylinae, Nippostrongylus, Nippostrongylus brasiliensis (Rat hookworm)",NA
A0A165QYQ9,A0A165QYQ9_EXIGL,EXIGLDRAFT_690851,NA,NA,NA,EXIGLDRAFT_690851,Exidia glandulosa HHB12029,1314781,Eukaryotic translation initiation factor 2C,UP000077266: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Auriculariales, Exidiaceae, Exidia, Exidia glandulosa (Black witch's butter), Exidia glandulosa HHB12029",NA
T0SAU8,T0SAU8_SAPDV,SDRG_00197,NA,NA,NA,SDRG_00197,Saprolegnia diclina (strain VS20),1156394,Uncharacterized protein,UP000030762: Unassembled WGS sequence,"cellular organisms, Eukaryota, Sar, Stramenopiles, Oomycota, Saprolegniales, Saprolegniaceae, Saprolegnia, Saprolegnia diclina, Saprolegnia diclina (strain VS20)",NA
R7YY92,R7YY92_CONA1,W97_06285,NA,NA,NA,W97_06285,Coniosporium apollinis (strain CBS 100218) (Rock-inhabiting black yeast),1168221,Uncharacterized protein,UP000016924: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, dothideomyceta, Dothideomycetes, Dothideomycetes incertae sedis, Coniosporium, Coniosporium apollinis, Coniosporium apollinis (strain CBS 100218) (Rock-inhabiting black yeast)",NA
A0A3S1A0C3,A0A3S1A0C3_ELYCH,EGW08_004731,NA,NA,NA,EGW08_004731,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,Uncharacterized protein,UP000271974: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Mollusca, Gastropoda, Heterobranchia, Euthyneura, Panpulmonata, Sacoglossa, Placobranchoidea, Plakobranchidae, Elysia, Elysia chlorotica (Eastern emerald elysia) (Sea slug)",NA
A0A074YJ47,A0A074YJ47_AURSE,AUEXF2481DRAFT_28804,NA,NA,NA,AUEXF2481DRAFT_28804,Aureobasidium subglaciale (strain EXF-2481) (Aureobasidium pullulans var. subglaciale),1043005,Uncharacterized protein,UP000030641: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, dothideomyceta, Dothideomycetes, Dothideomycetidae, Dothideales, Saccotheciaceae, Aureobasidium, Aureobasidium subglaciale, Aureobasidium subglaciale (strain EXF-2481) (Aureobasidium pullulans var. subglaciale)",NA
A0A2K1J482,A0A2K1J482_PHYPA,PHYPA_022183,NA,NA,NA,PHYPA_022183,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens),3218,Uncharacterized protein,UP000006727: Chromosome 17,"cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Bryophyta, Bryophytina, Bryopsida, Funariidae, Funariales, Funariaceae, Physcomitrium, Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)",NA
A0A1Q3ENA6,A0A1Q3ENA6_LENED,LENED_010762,NA,NA,NA,LENED_010762,Lentinula edodes (Shiitake mushroom) (Lentinus edodes),5353,Argonaute-like protein,UP000188533: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Omphalotaceae, Lentinula, Lentinula edodes (Shiitake mushroom) (Lentinus edodes)",NA
O04379,AGO1_ARATH,AGO1 At1g48410 F11A17.3 T1N15.2,AGO1,NA,At1g48410,F11A17.3 T1N15.2,Arabidopsis thaliana (Mouse-ear cress),3702,Protein argonaute 1,UP000006548: Chromosome 1,"cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, rosids, malvids, Brassicales, Brassicaceae, Camelineae, Arabidopsis, Arabidopsis thaliana (Mouse-ear cress)",NA
A0A371I3C8,A0A371I3C8_MUCPR,AGO1 CR513_06066,AGO1,NA,NA,CR513_06066,Mucuna pruriens (Velvet bean) (Dolichos pruriens),157652,Protein argonaute 1 (Fragment),UP000257109: Unassembled WGS sequence,"cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, rosids, fabids, Fabales, Fabaceae, Papilionoideae, 50 kb inversion clade, NPAAA clade, indigoferoid/millettioid clade, Phaseoleae, Mucuna, Mucuna pruriens (Velvet bean) (Dolichos pruriens)",NA
M8AEW7,M8AEW7_TRIUA,TRIUR3_31055,NA,NA,NA,TRIUR3_31055,Triticum urartu (Red wild einkorn) (Crithodium urartu),4572,Protein argonaute 1B,UP000015106: Unassembled WGS sequence,"cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, Liliopsida, Petrosaviidae, commelinids, Poales, Poaceae, BOP clade, Pooideae, Triticodae, Triticeae, Triticinae, Triticum, Triticum urartu (Red wild einkorn) (Crithodium urartu)",NA
A8P0D4,A8P0D4_COPC7,CC1G_09846,NA,NA,NA,CC1G_09846,Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata),240176,Argonaute-like protein,UP000001861: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Psathyrellaceae, Coprinopsis, Coprinopsis cinerea (Inky cap fungus) (Hormographiella aspergillata), Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata)",NA
